url_length,domain_length,path_length,dot_count,hyphen_count,digit_count,special_character_count,has_https,has_ip,has_at_symbol,query_parameter_count,has_fragment,subdomain_count,suspicious_keyword_count,is_shortened_url,label
39,32,0,4,0,8,0,0,0,0,0,0,3,0,0,1
27,19,0,2,0,1,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,21,0,2,0,0,0,0,0,0,0,0,1,0,0,1
30,23,0,2,0,0,0,0,0,0,0,0,1,0,0,1
24,16,0,3,0,0,0,1,0,0,0,0,2,0,0,0
34,26,0,2,1,0,0,1,0,0,0,0,1,0,0,0
21,14,0,2,0,0,0,0,0,0,0,0,1,0,0,1
19,12,0,2,0,0,0,0,0,0,0,0,1,0,0,1
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
33,24,1,2,1,6,0,1,0,0,0,0,1,0,0,1
71,23,40,1,0,6,0,1,0,0,0,0,0,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
20,13,0,2,0,0,0,0,0,0,0,0,1,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,20,0,2,0,0,0,0,0,0,0,0,1,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,21,0,2,0,0,0,0,0,0,0,0,1,0,0,1
31,23,0,3,0,0,0,1,0,0,0,0,2,0,0,0
26,19,0,2,0,0,0,0,0,0,0,0,1,0,0,1
22,15,0,2,0,0,0,0,0,0,0,0,1,0,0,1
28,20,0,2,1,0,0,1,0,0,0,0,1,0,0,0
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
223,15,16,2,0,82,7,1,0,0,2,0,1,0,0,1
23,15,0,3,0,0,0,1,0,0,0,0,2,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1
